name,address,link
Amazon, NA, https://www.amazon.com/
Walmart, Find Nearest To You, https://www.walmart.com/ip/Pre-Owned-Wildflowers-Along-the-Alaska-Highway-Paperback-096231921X-9780962319211-Verna-E-Pratt/448263334?from=/search
Barnes & Noble, 200 East Nothern Light Blvd Anchorage AK 99503, https://www.barnesandnoble.com/w/wildflowers-along-the-alaska-highway-verna-e-pratt/1100003037?ean=9780962319211
Greatland Graphics, NA, https://greatlandgraphics.com/?s=Wildflowers+Along+The+Alaska+Highway&post_type=product
Todd Communications, 611 E. 12th Ave. Suite 102 Anchorage Ak 99501, https://alaskabooksandcalendars.com/
